"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0042440","pigment metabolic process",200,22,5.74,"7.0e-08",0.00023471
"GO:0009812","flavonoid metabolic process",136,16,3.9,"1.8e-06",0.002263275
"GO:0010218","response to far red light",78,12,2.24,"2.1e-06",0.002263275
"GO:0055114","oxidation-reduction process",1348,68,38.68,"2.7e-06",0.002263275
"GO:0009411","response to UV",140,15,4.02,"1.2e-05",0.0080472
"GO:0010224","response to UV-B",79,11,2.27,"1.5e-05",0.0083825
"GO:0009657","plastid organization",262,21,7.52,"2.3e-05",0.00944936363636364
"GO:0009658","chloroplast organization",184,17,5.28,"2.3e-05",0.00944936363636364
"GO:0007623","circadian rhythm",169,16,4.85,"2.9e-05",0.00944936363636364
"GO:0048511","rhythmic process",169,16,4.85,"2.9e-05",0.00944936363636364
"GO:0006551","leucine metabolic process",14,5,0.4,"3.1e-05",0.00944936363636364
"GO:0046148","pigment biosynthetic process",160,15,4.59,"5.8e-05",0.0162061666666667
"GO:0009269","response to desiccation",16,5,0.46,"6.4e-05",0.0165070769230769
"GO:0010114","response to red light",85,10,2.44,"0.00016",0.03832
"GO:0009651","response to salt stress",716,38,20.54,"0.00019",0.0424713333333333
"GO:0010167","response to nitrate",44,7,1.26,"0.00023",0.048199375
"GO:1901606","alpha-amino acid catabolic process",74,9,2.12,"0.00026",0.0484322222222222
"GO:0009081","branched-chain amino acid metabolic proc...",32,6,0.92,"0.00026",0.0484322222222222
"GO:0009639","response to red or far red light",247,18,7.09,"0.00028",0.0494126315789474
