"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0002181","cytoplasmic translation",109,23,2.63,"1.0e-15",3.361e-12
"GO:0006412","translation",547,61,13.18,"8.2e-12",1.37801e-08
"GO:0000462","maturation of SSU-rRNA from tricistronic...",49,15,1.18,"8.2e-10",9.18673333333333e-07
"GO:0042273","ribosomal large subunit biogenesis",105,17,2.53,"2.2e-06",0.00184855
"GO:0006334","nucleosome assembly",43,8,1.04,"7.3e-06",0.00490706
"GO:0000027","ribosomal large subunit assembly",55,8,1.33,"4.8e-05",0.026888
"GO:0031118","rRNA pseudouridine synthesis",10,4,0.24,"6.2e-05",0.0297688571428571
"GO:0000447","endonucleolytic cleavage in ITS1 to sepa...",11,4,0.27,"9.6e-05",0.040332
"GO:0000028","ribosomal small subunit assembly",33,6,0.8,"0.00012",0.0448133333333333
"GO:0042255","ribosome assembly",104,18,2.51,"0.00042",0.141162
"GO:0042254","ribosome biogenesis",342,46,8.24,"0.00098",0.299434545454545
"GO:0010492","maintenance of shoot apical meristem ide...",33,5,0.8,"0.00107",0.299689166666667
"GO:0006167","AMP biosynthetic process",10,3,0.24,"0.00147",0.380051538461538
"GO:0048025","negative regulation of mRNA splicing, vi...",13,3,0.31,"0.00331",0.794636428571429
"GO:0006396","RNA processing",754,48,18.17,"0.00566",1
"GO:0045737","positive regulation of cyclin-dependent ...",16,3,0.39,"0.00615",1
"GO:0031125","rRNA 3'-end processing",17,3,0.41,"0.00734",1
"GO:0006414","translational elongation",17,3,0.41,"0.00734",1
"GO:0080022","primary root development",33,4,0.8,"0.00781",1
"GO:0090501","RNA phosphodiester bond hydrolysis",136,12,3.28,"0.01014",1
"GO:0006401","RNA catabolic process",204,11,4.92,"0.01066",1
"GO:0010444","guard mother cell differentiation",20,3,0.48,"0.01166",1
"GO:0000413","protein peptidyl-prolyl isomerization",58,5,1.4,"0.01273",1
"GO:0000470","maturation of LSU-rRNA",38,4,0.92,"0.01283",1
"GO:0000375","RNA splicing, via transesterification re...",198,13,4.77,"0.01363",1
"GO:0009913","epidermal cell differentiation",22,3,0.53,"0.01521",1
"GO:0008544","epidermis development",22,3,0.53,"0.01521",1
"GO:0009735","response to cytokinin",306,14,7.37,"0.01663",1
"GO:0006446","regulation of translational initiation",23,3,0.55,"0.01718",1
"GO:0008380","RNA splicing",263,15,6.34,"0.01736",1
"GO:0032543","mitochondrial translation",43,4,1.04,"0.01953",1
"GO:0006417","regulation of translation",167,9,4.02,"0.01996",1
"GO:0048825","cotyledon development",65,5,1.57,"0.02005",1
"GO:0010608","posttranscriptional regulation of gene e...",314,14,7.57,"0.02030",1
"GO:0034969","histone arginine methylation",10,2,0.24,"0.02292",1
"GO:0010440","stomatal lineage progression",26,3,0.63,"0.02392",1
"GO:0031123","RNA 3'-end processing",86,8,2.07,"0.02456",1
"GO:0016071","mRNA metabolic process",471,21,11.35,"0.02723",1
"GO:0018216","peptidyl-arginine methylation",11,2,0.27,"0.02758",1
"GO:1901407","regulation of phosphorylation of RNA pol...",11,2,0.27,"0.02758",1
"GO:1901409","positive regulation of phosphorylation o...",11,2,0.27,"0.02758",1
"GO:0018195","peptidyl-arginine modification",11,2,0.27,"0.02758",1
"GO:0034248","regulation of cellular amide metabolic p...",178,9,4.29,"0.02866",1
"GO:1903311","regulation of mRNA metabolic process",110,9,2.65,"0.02877",1
"GO:0140053","mitochondrial gene expression",72,5,1.73,"0.02969",1
"GO:0010374","stomatal complex development",73,5,1.76,"0.03126",1
"GO:0016073","snRNA metabolic process",29,3,0.7,"0.03190",1
"GO:0000377","RNA splicing, via transesterification re...",196,12,4.72,"0.03201",1
"GO:0043101","purine-containing compound salvage",12,2,0.29,"0.03257",1
"GO:0022618","ribonucleoprotein complex assembly",191,20,4.6,"0.03313",1
"GO:0006413","translational initiation",76,5,1.83,"0.03631",1
"GO:0030855","epithelial cell differentiation",31,3,0.75,"0.03789",1
"GO:0016074","snoRNA metabolic process",31,3,0.75,"0.03789",1
"GO:0006364","rRNA processing",207,26,4.99,"0.03825",1
"GO:0000398","mRNA splicing, via spliceosome",175,11,4.22,"0.04099",1
"GO:0071826","ribonucleoprotein complex subunit organi...",198,20,4.77,"0.04348",1
"GO:0001709","cell fate determination",14,2,0.34,"0.04352",1
"GO:0009646","response to absence of light",56,4,1.35,"0.04569",1
"GO:0001510","RNA methylation",56,4,1.35,"0.04569",1
